date,signal,edge_prob,cover_prob,stake,pl,clv,bankroll
2008-12-06,-1,-0.05370471,0.47012976,0.07859810013785552,-0.006337895058095455,0.5,99.9936621049419
2008-12-06,-1,-0.050589055,0.4732454,0.038026026610037233,-0.0030662950593978167,-0.5,99.9905958098825
2008-12-09,-1,-0.053204834,0.47062963,0.07208864454127585,0.0052840113085694616,1.5,99.99587982119108
2008-12-17,-1,-0.065369725,0.45846474,0.2305003425803589,-0.018586797639727592,-0.0,99.97729302355135
2008-12-18,-1,-0.050063163,0.4737713,0.031177480383015013,0.002285271972650662,1.0,99.97957829552399
2008-12-20,-1,-0.053724736,0.47010973,0.07885892486945123,0.005780264748260379,-0.0,99.98535856027226
2008-12-20,-1,-0.05285743,0.47097704,0.06756455450890689,0.004952400927431881,1.0,99.9903109611997
2008-12-20,-1,-0.06689516,0.4569393,0.25036434666862056,-0.02018856629729271,-0.0,99.9701223949024
2008-12-20,-1,-0.057019144,0.46681532,0.1217585008002635,0.008924752285704017,1.5,99.9790471471881
2008-12-20,-1,-0.055460483,0.46837398,0.1014616983607161,-0.008181541226804256,0.5,99.9708656059613
2008-12-20,-1,-0.04963684,0.47419763,0.025626148262730252,-0.0020664092153310776,-1.5,99.96879919674596
2008-12-22,-1,-0.056258112,0.46757635,0.11184836215855531,0.008198350992053748,1.5,99.97699754773802
2008-12-22,-1,-0.06401762,0.45981684,0.21289329301984125,-0.017167022451758385,-0.0,99.95983052528626
2008-12-23,-1,-0.048098534,0.47573593,0.005594430554428495,0.0004100650595210027,-0.0,99.96024059034579
2008-12-23,-1,-0.052461803,0.47137266,0.062412899359930295,0.004574790774844587,-1.5,99.96481538112063
2008-12-23,-1,-0.0636265,0.46020797,0.2078001943686369,-0.01675633154809475,-0.0,99.94805904957254
2008-12-27,-1,-0.05425304,0.46958143,0.08573837206487377,0.006284519988577813,-1.5,99.95434356956112
2008-12-27,-1,-0.05434841,0.46948606,0.0869802953246763,-0.007013808004558086,0.5,99.94732976155656
2008-12-27,-1,-0.053848,0.46998647,0.08046412940754324,0.0058979243184439836,-2.5,99.95322768587499
2008-12-28,-1,-0.050438643,0.47339582,0.03606709231705962,0.0026436746714171024,-1.0,99.95587136054641
2008-12-28,-1,-0.056414217,0.46742025,0.11388149688939046,-0.009183033369481564,-2.0,99.94668832717693
2008-12-28,-1,-0.053265244,0.47056922,0.07287518997185483,0.005341664146631956,-0.0,99.95202999132357
2008-12-28,-1,-0.058300167,0.4655343,0.1384401498030884,-0.011163363233208656,0.5,99.94086662809036
2008-12-28,-1,-0.050904274,0.4729302,0.04213072449522087,-0.0033972845412790775,1.5,99.93746934354908
2008-12-29,-1,-0.06406006,0.4597744,0.21344605711912704,-0.01721159555017948,0.5,99.9202577479989
2008-12-29,-1,-0.05455908,0.4692754,0.08972393866102464,0.006576657246798277,1.0,99.9268344052457
2008-12-30,-1,-0.07323077,0.4506037,0.33286710264421604,0.024398759968578817,-0.5,99.95123316521428
2008-12-30,-1,-0.048216254,0.4756182,0.007126856338863694,-0.0005746865062974393,-3.0,99.95065847870798
2008-12-31,-1,-0.053885072,0.4699494,0.08094695487324721,0.00593331484682858,-1.0,99.95659179355481
2008-12-31,-1,-0.06014633,0.46368814,0.16248102237129786,-0.013101940974593163,-1.0,99.94348985258021
2009-01-01,-1,-0.050320655,0.4735138,0.034530602154410575,0.002531051782658324,-0.0,99.94602090436287
2009-01-01,-1,-0.0622887,0.46154577,0.19037917429719564,0.0139545654701069,1.0,99.95997546983298
2009-01-01,-1,-0.05114022,0.47269425,0.045202893460761846,0.003313317953841761,0.5,99.96328878778682
2009-01-01,-1,-0.05501476,0.4688197,0.09565746742532404,-0.007713506929576397,0.5,99.95557528085725
2009-01-03,-1,-0.07068494,0.45314953,0.2997150238163292,-0.024168044328689575,-0.0,99.93140723652856
2009-01-03,-1,-0.04970166,0.4741328,0.026470424394318,0.0019402504060417414,-1.0,99.9333474869346
2009-01-03,-1,-0.067411244,0.45642322,0.2570850156681607,0.018844023752957583,0.5,99.95219151068756
2009-01-03,-1,-0.061377138,0.46245733,0.1785088713295685,-0.014394374564290047,-2.0,99.93779713612327
2009-01-03,-1,-0.05097875,0.47285572,0.043100637230904536,0.0031592250899411737,-0.0,99.94095636121321
2009-01-03,-1,-0.05094698,0.4728875,0.04268652902804482,0.0031288714546244593,-0.5,99.94408523266783
2009-01-03,-1,-0.047788978,0.4760455,0.0015631228301207622,0.00011457503138808533,-2.0,99.94419980769922
2009-01-03,-1,-0.04862523,0.47520924,0.012452940120460838,0.0009127855966798962,-2.0,99.9451125932959
2009-01-03,-1,-0.05007884,0.47375563,0.031381992127625914,-0.0025305417366325855,-0.0,99.94258205155927
2009-01-03,-1,-0.08072612,0.44310835,0.43047189123460644,-0.03471185266971588,-0.5,99.90787019888955
2009-01-03,-1,-0.05697602,0.46685845,0.12119721309242627,-0.009772948920726776,1.0,99.89809724996883
2009-01-03,-1,-0.05192277,0.4719117,0.0553937885650382,0.004060298359952867,1.0,99.90215754832877
2009-01-03,-1,-0.061597615,0.46223685,0.181379571871438,0.013294905390590429,0.5,99.91545245371937
2009-01-03,-1,-0.051191896,0.47264257,0.045876200788301805,-0.0036993075627833605,0.5,99.91175314615658
2009-01-03,-1,-0.07074392,0.45309055,0.3004832804472588,-0.024229994043707848,1.0,99.88752315211288
2009-01-03,-1,-0.052425146,0.47140932,0.06193556573144343,0.004539802791550755,-0.5,99.89206295490442
2009-01-03,-1,-0.05063808,0.4731964,0.03866416539009861,0.002834037017310038,-0.5,99.89489699192174
